ts; dow; hod;default broker_mwh; default broker_price ;CrocodileAgent_mwh; CrocodileAgent_price ;Bunnie_mwh; Bunnie_price 
1322; 5; 2;[-0.1773; 34.8352];[1.3402; -32.9473];[43.3847; -29.5150]
1323; 5; 3;[-0.1794; 33.3329];[1.3024; -31.5246];[48.7536; -31.6921]
1324; 5; 4;[-0.1038; 33.8110];[1.5601; -32.3223];[45.9057; -30.1504]
1325; 5; 5;[-0.0990; 34.0110];[1.2988; -32.3020];[42.1145; -31.7904]
1326; 5; 6;[-0.3184; 37.9999];[1.4188; -37.8905];[55.6153; -35.5167]
1327; 5; 7;[-1.0695; 45.4499];[0.9038; -31.3501];[57.9956; -37.4868]
1328; 5; 8;[-1.9189; 52.6401];[0.7422; -31.5035];[23.4385; -31.6488]
1329; 5; 9;[-2.4521; 45.0146];[0.4072; -27.8419];[54.8652; -36.0607]
1330; 5; 10;[-2.9469; 52.4759];[0.8816; -24.9114];[16.3922; -32.0858]
1331; 5; 11;[-2.9418; 38.3935];[0.6797; -20.1550];[43.3887; -35.1318]
1332; 5; 12;[-3.0568; 38.7644];[0.6754; -16.2114];[41.8350; -40.6161]
1333; 5; 13;[-2.2804; 38.9286];[0.0000; 0.0000];[43.7763; -35.4429]
1334; 5; 14;[-1.2605; 52.1283];[0.0000; 0.0000];[49.7811; -33.7034]
1335; 5; 15;[-1.1167; 52.4530];[0.0000; 0.0000];[43.4301; -34.1709]
1336; 5; 16;[-0.6369; 52.1331];[0.7784; -20.1820];[49.9496; -41.5673]
1337; 5; 17;[-0.3538; 42.0853];[1.3218; -17.5936];[47.1607; -39.7843]
1338; 5; 18;[-0.2050; 132.1443];[0.0000; 0.0000];[41.7483; -35.6013]
1339; 5; 19;[-0.2388; 85.9208];[0.0000; 0.0000];[43.4719; -36.1166]
1340; 5; 20;[-0.2526; 55.3192];[6.8338; -31.6667];[42.2933; -36.0755]
1341; 5; 21;[-0.2549; 43.3639];[5.4498; -28.5000];[37.7209; -35.0329]
1342; 5; 22;[-0.2517; 32.6101];[7.2455; -8.3890];[32.6274; -38.1411]
1343; 5; 23;[-0.2639; 37.4147];[7.7473; -6.4521];[34.5156; -38.9238]
1344; 6; 0;[-0.2743; 33.8430];[6.2375; -35.8171];[39.3027; -32.2962]
1345; 6; 1;[-0.2565; 31.2408];[6.3932; -15.5637];[35.1148; -29.9195]
1346; 6; 2;[-0.1958; 29.9026];[14.8583; -25.0472];[45.1984; -29.5111]
1347; 6; 3;[-0.1965; 32.6242];[12.6967; -18.9732];[51.7119; -32.6955]
1348; 6; 4;[-0.1604; 32.7675];[14.8829; -27.4999];[50.6205; -34.0565]
1349; 6; 5;[-0.1875; 32.5237];[15.8420; -29.9337];[46.8681; -30.0836]
1350; 6; 6;[-0.3589; 43.7336];[11.2421; -30.3248];[55.0752; -38.4771]
1351; 6; 7;[-1.0410; 33.1190];[12.3539; -21.6583];[52.6846; -36.7567]
1352; 6; 8;[-1.9090; 37.4353];[11.3001; -21.5695];[51.5373; -37.2794]
1353; 6; 9;[-2.2727; 37.4471];[11.5586; -24.8385];[46.5997; -39.0440]
1354; 6; 10;[-2.5985; 37.5551];[11.9441; -23.8362];[38.3272; -37.4623]
1355; 6; 11;[-3.3400; 51.5938];[14.0531; -14.5816];[40.5038; -20.3527]
1356; 6; 12;[-3.0525; 51.8560];[13.7616; -31.6667];[39.8161; -31.8343]
