ts; dow; hod;default broker_mwh; default broker_price ;COLDPower18_mwh; COLDPower18_price ;EWIIS3_mwh; EWIIS3_price ;AgentUDE_mwh; AgentUDE_price ;Bunnie_mwh; Bunnie_price 
1190; 7; 14;[-0.1189; 52.1813];[0.0000; 0.0000];[0.0000; 0.0000];[-3.1066; 54.5258];[49.0649; -23.4761]
1191; 7; 15;[-0.2096; 51.4807];[2.1619; -40.4667];[0.0000; 0.0000];[-2.3950; 44.7596];[44.5135; -26.5006]
1192; 7; 16;[-0.1239; 52.2751];[4.9276; -12.2809];[0.0000; 0.0000];[-1.4682; 47.4331];[41.7046; -33.6252]
1193; 7; 17;[-0.2437; 43.7275];[0.0000; 0.0000];[0.0000; 0.0000];[-0.4196; 102.2713];[39.3099; -37.8130]
1194; 7; 18;[-0.1520; 59.3090];[0.5176; -35.7922];[0.0000; 0.0000];[-0.1335; 286.3516];[42.9498; -32.6162]
1195; 7; 19;[-0.2398; 59.5980];[5.0000; -35.9891];[0.0000; 0.0000];[-0.1319; 278.0504];[41.5792; -27.7077]
1196; 7; 20;[-0.1405; 40.6823];[5.0000; -17.1196];[0.0000; 0.0000];[-0.1276; 246.5482];[39.0783; -42.7681]
1197; 7; 21;[-0.2164; 40.2794];[3.9823; 0.4712];[0.0000; 0.0000];[-0.1334; 195.7357];[38.3546; -44.5368]
1198; 7; 22;[-0.2012; 38.4420];[0.0000; 0.0000];[0.0000; 0.0000];[-0.1309; 526.9258];[35.5485; -38.5132]
1199; 7; 23;[-0.1818; 32.1216];[4.0915; -4.4500];[0.0000; 0.0000];[0.0469; 765.6308];[40.0525; -38.0285]
1200; 1; 0;[-0.2060; 30.8424];[0.0000; 0.0000];[0.0000; 0.0000];[0.0243; 549.5206];[48.1369; -31.7972]
1201; 1; 1;[-0.1213; 31.7898];[1.4775; 18.1061];[0.0000; 0.0000];[0.0264; 270.9226];[53.4161; -31.2040]
1202; 1; 2;[-0.1373; 31.7994];[0.0000; 0.0000];[0.0000; 0.0000];[0.0351; 137.2829];[57.2162; -31.9530]
1203; 1; 3;[-0.2181; 32.0138];[-3.6421; 38.3610];[0.0000; 0.0000];[0.0383; 71.2601];[47.2567; -29.9133]
1204; 1; 4;[-0.2137; 44.4447];[0.2443; 672.7163];[0.0000; 0.0000];[0.0383; 68.8395];[41.9139; -33.3531]
1205; 1; 5;[-0.2237; 45.4554];[-1.4741; 112.2468];[0.0000; 0.0000];[0.0353; 73.9523];[39.4564; -29.5410]
1206; 1; 6;[-0.2193; 34.8871];[0.0000; 0.0000];[0.0000; 0.0000];[-0.0663; 75.6159];[41.4364; -27.7596]
1207; 1; 7;[-0.1425; 45.9024];[0.0000; 0.0000];[0.0000; 0.0000];[-0.6534; 43.2380];[49.0350; -32.1727]
1208; 1; 8;[-0.1402; 49.9069];[0.0000; 0.0000];[0.0000; 0.0000];[-1.1868; 43.7681];[52.6479; -32.7548]
1209; 1; 9;[-0.1675; 51.8556];[0.0000; 0.0000];[0.0000; 0.0000];[-1.5656; 42.1199];[36.1747; -34.1145]
1210; 1; 10;[-0.1101; 37.0801];[0.0000; 0.0000];[0.0000; 0.0000];[-1.5457; 45.8509];[47.3489; -31.7680]
1211; 1; 11;[-0.1843; 52.8793];[0.0000; 0.0000];[0.0000; 0.0000];[-1.9353; 41.6465];[39.1900; -34.5869]
1212; 1; 12;[-0.1616; 53.6290];[1.1368; -0.2429];[0.0000; 0.0000];[-1.9188; 52.8081];[35.0075; -34.1092]
1213; 1; 13;[-0.1221; 54.2853];[0.0000; 0.0000];[0.0000; 0.0000];[-1.7503; 46.8543];[38.9613; -33.8957]
1214; 1; 14;[-0.1933; 52.8410];[0.0000; 0.0000];[0.0000; 0.0000];[-1.4801; 48.6671];[43.4694; -34.0330]
1215; 1; 15;[-0.1707; 52.3782];[0.0000; 0.0000];[0.0000; 0.0000];[-1.0731; 49.0498];[39.9891; -25.6913]
1216; 1; 16;[-0.1744; 52.3848];[0.0000; 0.0000];[0.0000; 0.0000];[-0.6129; 53.4002];[45.2505; -27.0389]
1217; 1; 17;[-0.1892; 52.1634];[0.0000; 0.0000];[0.0000; 0.0000];[-0.0843; 64.2221];[40.5307; -27.2076]
1218; 1; 18;[-0.2629; 61.0586];[0.0000; 0.0000];[0.0000; 0.0000];[0.1242; -14.3275];[38.7484; -31.2589]
1219; 1; 19;[-0.2398; 61.6807];[5.0000; -20.8008];[0.0000; 0.0000];[0.1250; -8.0344];[42.8980; -33.9146]
1220; 1; 20;[-0.2244; 84.4324];[0.0000; 0.0000];[0.0000; 0.0000];[0.0962; -7.8602];[41.5810; -27.9386]
1221; 1; 21;[-0.2381; 49.8816];[5.9112; -20.0412];[0.0000; 0.0000];[0.1815; -2.9932];[38.5248; -29.9885]
1222; 1; 22;[-0.2104; 42.7341];[4.7851; -16.7991];[0.0000; 0.0000];[0.0304; -12.5499];[38.0305; -38.8563]
1223; 1; 23;[-0.1663; 43.6880];[4.6366; -19.8430];[0.0000; 0.0000];[0.0102; 648.4082];[38.2472; -46.9728]
1224; 2; 0;[-0.2110; 35.0520];[5.0000; -0.1552];[0.0000; 0.0000];[0.0217; 340.7650];[46.4431; -29.1727]
1225; 2; 1;[-0.1913; 40.7504];[1.1765; 22.9844];[0.0000; 0.0000];[0.0702; 50.6187];[52.2146; -30.9548]
1226; 2; 2;[-0.1955; 42.6049];[-3.3552; 81.7352];[0.0000; 0.0000];[-0.0393; 175.0699];[76.2858; -29.6096]
1227; 2; 3;[-0.1802; 38.9814];[-3.8984; 62.2176];[0.0000; 0.0000];[-0.0387; 194.9885];[49.9734; -32.5071]
1228; 2; 4;[-0.0770; 39.6531];[-3.5207; 48.8504];[0.0000; 0.0000];[-0.0367; 226.3762];[53.8839; -32.6507]
1229; 2; 5;[-0.1278; 34.8182];[-0.0847; 1895.5410];[0.0000; 0.0000];[-0.0367; 223.6859];[44.7195; -32.6048]
1230; 2; 6;[-0.1352; 45.8180];[0.0000; 0.0000];[0.0000; 0.0000];[-0.2380; 42.1841];[28.5430; -32.2189]
1231; 2; 7;[-0.1017; 32.0674];[0.7620; -6.6685];[0.0000; 0.0000];[-0.1892; 40.2634];[43.6898; -36.3626]
1232; 2; 8;[-0.1615; 108.6185];[0.0000; 0.0000];[0.0000; 0.0000];[-2.3578; 82.5323];[24.1388; -37.2190]
1233; 2; 9;[-0.1785; 53.1743];[0.9403; -7.7446];[0.0000; 0.0000];[-3.0121; 45.2906];[63.0275; -36.4348]
1234; 2; 10;[-0.1166; 55.2026];[0.0000; 0.0000];[0.0000; 0.0000];[-3.8197; 41.4935];[22.2528; -36.2537]
1235; 2; 11;[-0.1488; 40.7461];[1.3063; 68.1529];[0.0000; 0.0000];[-3.6978; 18.2272];[46.6116; -38.2845]
1236; 2; 12;[-0.1733; 62.2556];[0.0000; 0.0000];[0.0000; 0.0000];[-4.0442; 43.2271];[33.8740; -35.5847]
1237; 2; 13;[-0.2168; 43.1768];[-1.0650; 233.8786];[0.0000; 0.0000];[-3.3516; 26.1415];[48.3993; -37.1109]
1238; 2; 14;[-0.2483; 45.4778];[0.0000; 0.0000];[0.0000; 0.0000];[-2.8915; 43.8746];[46.5421; -28.9817]
1239; 2; 15;[-0.1916; 35.2050];[0.0000; 0.0000];[0.0000; 0.0000];[-2.2173; 37.4790];[44.8826; -41.2699]
1240; 2; 16;[-0.1775; 45.5182];[0.0000; 0.0000];[0.0000; 0.0000];[-0.2371; 73.5888];[40.1519; -33.2721]
1241; 2; 17;[-0.2000; 49.3174];[0.0000; 0.0000];[0.0000; 0.0000];[-0.1388; 44.3180];[43.3772; -34.7732]
1242; 2; 18;[-0.1486; 39.5127];[0.5519; 28.4949];[0.0000; 0.0000];[0.1796; -4.6194];[46.2016; -43.3889]
1243; 2; 19;[-0.2251; 38.8171];[0.0000; 0.0000];[0.0000; 0.0000];[-0.1086; 108.4555];[48.0366; -38.2806]
1244; 2; 20;[-0.2109; 46.2181];[1.1360; -22.8717];[0.0000; 0.0000];[-0.1152; 101.5780];[43.8936; -43.7237]
1245; 2; 21;[-0.2439; 41.1590];[2.1357; -10.4348];[0.0000; 0.0000];[-0.1086; 108.1464];[36.0811; -46.0058]
1246; 2; 22;[-0.2138; 46.7233];[0.0000; 0.0000];[0.0000; 0.0000];[-0.1151; 97.5119];[36.4519; -45.9813]
1247; 2; 23;[-0.2372; 38.6469];[0.0000; 0.0000];[0.0000; 0.0000];[-0.1150; 104.5760];[35.1143; -35.4665]
1248; 3; 0;[-0.2358; 37.5960];[5.0000; -1.6337];[0.0000; 0.0000];[-0.0102; 852.3748];[49.7702; -28.2442]
1249; 3; 1;[-0.2467; 38.9058];[3.5250; -15.6119];[0.0000; 0.0000];[-0.0084; 765.7434];[53.9690; -34.1123]
1250; 3; 2;[-0.2671; 31.4252];[2.4053; 0.9154];[0.0000; 0.0000];[-0.0102; 563.3174];[61.0377; -31.6960]
1251; 3; 3;[-0.2177; 37.1868];[-2.5490; 50.7829];[0.0000; 0.0000];[-0.0102; 356.5784];[69.9072; -33.9648]
1252; 3; 4;[-0.1904; 34.7042];[-0.2689; 351.0393];[0.0000; 0.0000];[-0.0102; 1058.4580];[58.7347; -28.6803]
1253; 3; 5;[-0.1560; 35.0442];[0.1851; 652.8628];[0.0000; 0.0000];[-0.0102; 606.2326];[49.3384; -34.2326]
1254; 3; 6;[-0.1139; 32.6024];[2.1005; -5.2719];[0.0000; 0.0000];[-0.2050; 68.5067];[44.9734; -35.0342]
1255; 3; 7;[-0.2514; 42.9943];[1.0034; 58.7147];[0.0000; 0.0000];[-1.2393; 51.3113];[54.2191; -38.0443]
1256; 3; 8;[-0.2554; 48.7435];[1.3282; 19.7037];[0.0000; 0.0000];[-2.2716; 55.0490];[7.1448; -30.5070]
1257; 3; 9;[-0.2677; 49.2288];[0.8128; 3.7215];[0.0000; 0.0000];[-2.1394; 42.0607];[9.7663; -32.5792]
1258; 3; 10;[-0.3194; 35.1977];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[44.9619; -38.2087]
1259; 3; 11;[-0.1455; 36.6318];[0.0000; 0.0000];[0.0000; 0.0000];[-1.5503; 33.2245];[35.1549; -37.0795]
1260; 3; 12;[-0.1245; 37.1249];[5.0000; -40.6776];[0.0000; 0.0000];[0.0000; 0.0000];[46.8856; -39.7755]
1261; 3; 13;[-0.1105; 39.1866];[2.5890; 10.1761];[0.0000; 0.0000];[-0.7810; 51.9684];[46.9629; -41.3623]
1262; 3; 14;[-0.1645; 39.7107];[0.8998; 31.5472];[0.0000; 0.0000];[-0.4221; 53.7473];[49.5822; -41.4716]
1263; 3; 15;[-0.1616; 39.8804];[0.0000; 0.0000];[0.0000; 0.0000];[0.0195; -26.9333];[44.2489; -42.5189]
1264; 3; 16;[-0.1213; 52.8504];[0.0000; 0.0000];[0.0000; 0.0000];[0.7107; -48.3093];[1.2164; -33.7171]
1265; 3; 17;[-0.1369; 39.8758];[0.5489; 120.9064];[0.0000; 0.0000];[1.4237; -42.3014];[50.0427; -41.9200]
1266; 3; 18;[-0.1506; 39.8630];[2.8477; -19.9957];[0.0000; 0.0000];[1.5297; -42.0533];[43.9696; -41.6224]
1267; 3; 19;[-0.1629; 44.4526];[0.0000; 0.0000];[0.0000; 0.0000];[0.0982; -769.1473];[46.0138; -42.5922]
1268; 3; 20;[-0.1468; 40.1432];[0.4002; 41.2340];[0.0000; 0.0000];[0.0590; -391.3709];[41.6709; -43.8663]
1269; 3; 21;[-0.1694; 39.9988];[4.2570; -22.5692];[0.0000; 0.0000];[0.0589; -508.4076];[36.4658; -41.3141]
1270; 3; 22;[-0.1383; 33.7391];[0.0000; 0.0000];[0.0000; 0.0000];[1.5332; -15.0834];[38.2773; -36.2423]
1271; 3; 23;[-0.1462; 40.0892];[0.2923; 38.3405];[0.0000; 0.0000];[0.0589; 167.1513];[39.7071; -43.5205]
1272; 4; 0;[-0.2139; 28.8543];[1.1067; 27.8356];[0.0000; 0.0000];[0.0589; -24.3012];[52.6545; -28.9928]
1273; 4; 1;[-0.1369; 38.7890];[0.0000; 0.0000];[0.0000; 0.0000];[0.0076; -161.8976];[64.7426; -35.8938]
